,Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
20,21,Matt Forte,NYJ,RB,14,218,813,3.7,7,43,30,263,1,1,1,11.0,153.6
21,22,Bilal Powell,NYJ,RB,16,131,722,5.5,3,74,58,388,2,1,1,8.7,139.0
22,23,Jonathan Stewart,CAR,RB,13,218,824,3.8,9,21,8,60,0,3,2,10.6,138.4
23,24,Terrance West,BAL,RB,16,193,774,4.0,5,45,34,236,1,2,0,8.6,137.0
24,25,Ryan Mathews,PHI,RB,13,155,661,4.3,8,14,13,115,1,3,2,10.1,131.6
25,26,Rob Kelley,WAS,RB,15,168,704,4.2,6,18,12,82,1,0,0,8.0,120.6
26,27,Mike Gillislee,BUF,RB,15,101,576,5.7,8,11,9,50,1,1,0,7.8,116.6
27,28,Christine Michael,GB,RB,15,148,583,3.9,7,29,22,107,1,2,1,7.7,115.0
28,29,Devontae Booker,DEN,RB,16,174,612,3.5,4,46,31,265,1,4,3,7.0,111.7
29,30,Darren Sproles,PHI,RB,15,94,438,4.7,2,71,52,427,2,1,0,7.4,110.5
30,31,Theo Riddick,DET,RB,10,92,357,3.9,1,67,53,371,5,0,0,10.9,108.8
31,32,Jerick McKinnon,MIN,RB,15,159,539,3.4,2,53,43,255,2,0,0,7.0,105.4
32,33,Tim Hightower,NO,RB,16,133,548,4.1,4,26,22,200,1,0,0,6.6,104.8
33,34,Rashad Jennings,NYG,RB,13,181,593,3.3,3,42,35,201,1,1,0,8.0,103.4
34,35,James White,NE,RB,16,39,166,4.3,0,86,60,551,5,0,0,6.4,101.7
35,36,Matt Asiata,MIN,RB,16,121,402,3.3,6,38,32,263,0,1,1,6.3,100.5
36,37,Chris Thompson,WAS,RB,16,68,356,5.2,3,62,49,349,2,2,1,6.2,98.5
37,38,Ty Montgomery,GB,RB,15,77,457,5.9,3,56,44,348,0,2,1,6.4,96.5
