Name,Played,RushingAttempts,RushingYards,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost, RushingYardsPerAttempt 
Terron Ward,32,90,375,1,18,13,98,0,1,1, 4.17 
Tevin Coleman,40,361,1540,14,90,60,734,6,5,3, 4.30 
Theo Riddick,70,248,852,5,295,224,1854,14,2,2, 3.16 
Thomas Rawls,34,314,1336,7,41,31,266,1,2,2, 3.83 
Tim Hightower,24,229,923,8,39,34,329,1,0,0, 4.00 
Tion Green,5,42,165,2,2,2,14,0,0,0, 3.90 
Toben Opurum,2,0,0,0,0,0,0,0,0,0, -   
Toby Gerhart,51,208,822,5,75,56,452,0,4,4, 4.18 
Todd Gurley,44,786,3296,29,171,128,1303,6,10,4, 4.23 
Tommy Bohanon,52,25,72,2,37,23,198,1,0,0, 2.15 
Tony Fiammetta,17,0,0,0,5,4,57,0,0,0, -   
Travaris Cadet,72,49,180,0,156,118,959,7,4,4, 3.28 
Tre Madden,8,0,0,0,2,2,65,0,0,0, -   
Tre Mason,25,254,972,5,47,34,236,1,5,2, 3.55 
Trent Richardson,46,614,2032,17,156,113,912,2,7,2, 3.30 
Trey Edmunds,16,9,48,1,0,0,0,0,0,0, 5.30 
Trey Watts,15,7,30,0,4,3,18,0,0,0, 2.15 
Trey Williams,2,2,12,0,0,0,0,0,0,0, 6.00 
Troymaine Pope,4,12,44,0,2,1,5,0,0,0, 3.70 
Ty Montgomery,29,151,744,6,106,82,657,3,2,1, 4.80 
Tyler Clutts,56,0,0,0,4,3,9,0,1,1, -   
Tyler Ervin,16,5,15,0,16,11,56,0,3,2, 3.00 
Tyler Thigpen,4,1,-1,0,0,0,0,0,0,0, (1.00)
Tyler Varga,3,1,2,0,2,1,18,0,0,0, 2.00 
Vick Ballard,17,224,877,2,29,18,147,1,3,0, 4.35 
Vonta Leach,32,20,55,1,44,32,190,1,1,0, 2.85 
Wayne Gallman,13,111,476,0,48,34,193,1,3,1, 4.30 
Wendell Smallwood,21,124,486,2,31,19,158,0,1,1, 3.90 
Will Johnson,64,8,14,1,51,31,235,2,0,0, 1.33 
Will Ta'ufo'ou,38,1,1,0,24,18,126,0,0,0, 0.33 
Will Tukuafu,46,7,5,1,4,2,11,1,1,1, 0.64 
William Powell,13,60,217,0,25,19,132,0,2,0, 3.60 
Willis McGahee,22,305,1108,6,44,34,241,0,6,5, 3.55 
Zac Stacy,35,357,1355,9,70,53,358,1,3,3, 3.57 
Zach Line,47,20,53,2,20,9,111,2,0,0, 1.56 
Zach Zenner,28,119,420,5,27,20,207,0,1,1, 3.07 
Zurlon Tipton,16,15,38,0,14,11,125,1,0,0, 2.90 
