,Name,SnapsPlayed
147,Cortland Finnegan,704
148,Nolan Carroll,373
149,Tre Boston,360
150,Tramaine Brock,81
151,Alfonzo Dennard,236
152,Nate Allen,1080
153,Carlos Rogers,461
154,Terrence Frederick,190
155,Johnthan Banks,908
156,Dwayne Gratz,854
157,Byron Maxwell,700
158,Danny Gorrer,321
159,Josh Robinson,671
160,Josh Wilson,449
161,Cassius Vaughn,382
162,Winston Guy,233
163,Kenny Vaccaro,981
164,Shareece Wright,828
165,Matt Elam,635
166,Patrick Robinson,612
167,Buster Skrine,1130
168,Desmond Trufant,1076
169,Aaron Williams,903
170,Sergio Brown,531
171,Morris Claiborne,150
172,Richard Sherman,965
173,Antonio Cromartie,987
174,Robert Alford,617
175,Jimmy Smith,459
176,William Moore,322
177,Darius Slay,1011
178,Darrin Walls,750
179,Leon Hall,913
180,Chykie Brown,504
181,Chris Owens,491
182,Patrick Peterson,969
183,Stephon Gilmore,838
184,Dominique Rodgers-Cromartie,751
185,George Iloka,1116
186,Devin McCourty,998
187,Mike Mitchell,958
188,Jimmy Wilson,782
189,Darian Stewart,755
190,Brice McCain,600
191,Brock Vereen,502
192,Darrelle Revis,1011
193,David Amerson,903
194,Coty Sensabaugh,721
195,Zack Bowman,450
196,Jimmie Ward,262
197,Calvin Pryor,679
198,Thomas Decoud,665
199,Stevie Brown,576
200,Xavier Rhodes,1027
201,Lardarius Webb,772
202,Captain Munnerlyn,1062
203,Sean Smith,1036
204,Rashean Mathis,1023
205,Keenan Lewis,900
206,EJ Biggers,450
207,Marcus Cooper,287
208,Cary Williams,1153
209,Rahim Moore,1054
210,Brandon Carr,1000
211,Phillip Gaines,370
212,Dee Milliner,116
213,Sam Shields,820
214,Richard Marshall,280
215,Eric Reid,879
216,Danieal Manning,580
217,Ike Taylor,258
218,Jayron Hosley,150
219,Demetrius McCray,812
220,Tracy Porter,88
221,Tarell Brown,961
222,Brandon Browner,580
223,Tim Jennings,1006
224,Alan Ball,496
225,Tharold Simon,299
226,Walter Thurmond,66
227,Mike Jenkins,31
228,Nevin Lawson,61
0,Bradley Fletcher,68
1,Marcus Williams,286
2,Tyrann Mathieu,887
3,Reshad Jones,1120
4,Trumaine McBride,342
5,Quinten Rollins,323
6,Tyvon Branch,428
7,Dion Bailey,154
8,Steve Williams,287
9,Corey Graham,981
10,Craig Dahl,428
11,Justin Bethel,444
12,David Bruton,482
13,Cortez Allen,32
14,Keith Tandy,285
15,DeAngelo Hall,427
16,Tony Jefferson,757
17,Trevin Wade,529
18,Josh Wilson,278
19,Mike Adams,831
20,Will Allen,816
21,Kareem Jackson,631
22,Chris Conte,733
23,Captain Munnerlyn,714
24,Bacarri Rambo,687
25,Isa Abdul-Quddus,570
26,Trumaine Johnson,906
27,James Ihedigbo,598
28,Bashaud Breeland,913
29,Marcus Peters,1037
30,Dashon Goldson,969
31,David Amerson,879
32,Maurice Alexander,419
33,Jordan Poyer,427
34,Damian Swann,230
35,Barry Church,862
36,Damarious Randall,755
37,Malcolm Jenkins,1214
38,Kurt Coleman,1019
39,TJ Ward,707
40,K'Waun Williams,516
41,William Moore,505
42,Trenton Robinson,440
43,Robenson Therezie,289
44,Ron Parker,1057
45,Dominique Rodgers-Cromartie,888
46,Antwon Blake,923
47,Lamarcus Joyner,730
48,Morgan Burnett,683
49,Micah Hyde,652
50,Major Wright,219
51,Deji Olatoye,138
52,Kenny Vaccaro,1062
53,Josh Norman,1062
54,Ha'Sean Clinton-Dix,1048
55,Harrison Smith,796
56,Kam Chancellor,638
57,Eric Weddle,752
58,DeShawn Shead,616
59,Prince Amukamara,766
60,Jaquiski Tartt,722
61,Calvin Pryor,717
62,Phillip Adams,429
63,Leodis McKelvin,388
64,Leon Hall,666
65,Neiko Thorpe,458
66,Antoine Bethea,445
67,Eddie Pleasant,382
68,Landon Collins,1093
69,Alterraun Verner,579
70,Robert Golden,390
71,BW Webb,256
72,Anthony Harris,147
73,Jason Verrett,719
74,Jimmy Wilson,483
75,Harold Jones-Quartey,273
76,Reggie Nelson,1056
77,Ronald Darby,915
78,Ricardo Allen,841
79,DJ Swearinger,268
80,Jonathan Cyprien,1015
81,Darian Stewart,852
82,Jerraud Powers,786
83,Andrew Sendejo,778
84,Darius Butler,576
85,Michael Griffin,942
86,Brad McDougald,894
87,Jahleel Addae,713
88,Bradley Roby,626
89,Jimmie Ward,732
90,Adam Jones,856
91,Quintin Demps,766
92,Pierre Desir,388
93,Donte Whitner,853
94,Bryce Callahan,321
95,Aaron Williams,193
96,Mike Mitchell,1050
97,Johnathan Joseph,878
98,Michael Thomas,696
99,Rashean Mathis,440
100,Logan Ryan,978
101,DJ Hayden,904
102,Rashad Johnson,846
103,Kenneth Acker,810
104,Charles Tillman,712
105,Quandre Diggs,472
106,Will Blackmon,787
107,James Sample,131
108,Rafael Bush,21
109,Charles Woodson,1115
110,Bene' Benwikere,789
111,Kyle Arrington,342
112,Daimion Stafford,331
113,Justin Coleman,299
114,Davon House,1037
115,Nolan Carroll,757
116,Cary Williams,622
117,Aaron Colvin,1072
118,Byron Maxwell,911
119,Sam Shields,697
120,Kyshoen Jarrett,601
121,Chris Prosinski,337
122,Glover Quin,958
123,Sterling Moore,707
124,Jude Adjei-Barimah,468
125,Walter Thurmond,1201
126,Patrick Chung,887
127,Jeremy Lane,249
128,Dwight Lowery,1089
129,Ross Cockrell,686
130,Josh Evans,621
131,Shareece Wright,485
132,Greg Toler,684
133,Rodney McLeod,1154
134,Buster Skrine,725
135,Patrick Robinson,693
136,Joe Haden,289
137,Cortland Finnegan,212
138,TJ McDonald,772
139,Antrel Rolle,391
140,Josh Bush,232
141,Tarell Brown,162
142,Janoris Jenkins,1039
143,Robert Alford,909
144,Taylor Mays,316
145,Adrian Phillips,206
146,Will Hill,959
147,George Iloka,645
148,Marcus Gilchrist,1052
149,Brandon Browner,1024
150,Terence Newman,967
151,EJ Biggers,565
152,Brandon Carr,1053
153,Byron Jones,870
154,Nevin Lawson,561
155,Larry Asante,366
156,Dontae Johnson,367
157,Andre Hal,725
158,Earl Thomas,981
159,Tramon Williams,967
160,Kevin Johnson,802
161,Shawn Williams,474
162,Tyler Patmon,308
163,Nate Allen,224
164,Leonard Johnson,157
165,Shiloh Keo,87
166,Dre Kirkpatrick,1050
167,Jimmy Smith,1005
168,Casey Hayward,914
169,Darrelle Revis,890
170,Stephon Gilmore,795
171,Aqib Talib,981
172,Delvin Breaux,944
173,Jairus Byrd,811
174,Sergio Brown,555
175,Kyle Wilson,499
176,Malcolm Butler,1082
177,William Gay,1067
178,Roman Harper,951
179,Brandon Meriweather,834
180,Chris Harris,1067
181,Brent Grimes,960
182,Ed Reynolds,310
183,Blidi Wreh-Wilson,297
184,Charles Gaines,263
185,Devin McCourty,928
186,Lardarius Webb,893
187,Jalil Brown,312
188,Darius Slay,999
189,Desmond Trufant,969
190,Sean Smith,834
191,Eric Berry,1033
192,Tashaun Gipson,802
193,Jaylen Watkins,83
194,Coty Sensabaugh,1007
195,Nickell Robey,675
196,Xavier Rhodes,1017
197,Vontae Davis,1049
198,Jamar Taylor,712
199,Jayron Hosley,528
200,Eric Rowe,504
201,Adrian Amos,1032
202,Kendrick Lewis,933
203,Husain Abdullah,434
204,Mike Jenkins,332
205,Eric Reid,1117
206,Tramaine Brock,1068
207,Travis Carrie,934
208,Brandon Flowers,603
209,Tim Jennings,282
210,Da'Norris Searcy,888
211,Richard Sherman,978
212,Jason McCourty,212
213,Kenny Phillips,156
214,Kyle Fuller,1025
215,Brice McCain,758
216,Tracy Porter,843
217,JJ Wilcox,821
218,Bobby McCain,394
219,Morris Claiborne,662
220,Dwayne Gratz,457
221,Perrish Cox,702
222,Johnthan Banks,435
223,Justin Rogers,47
224,Patrick Peterson,991
225,Duron Harmon,603
226,Antonio Cromartie,902
227,Cassius Vaughn,41
228,Craig Mager,226
229,Chris Culliver,351
230,Rahim Moore,446
231,Walt Aikens,447
232,Phillip Gaines,169
233,Jeremy Harris,39
234,Chris Maragos,306
235,Sheldon Price,50
236,Quinton Dunbar,257
0,Keith Tandy,404
1,Daniel Sorensen,540
2,Trovon Reed,123
3,Landon Collins,1105
4,Justin Simmons,296
5,Jacoby Glenn,244
6,Su'a Cravens,297
7,Tavon Wilson,708
8,Blake Countess,141
9,Tony Jefferson,928
10,Brandon Flowers,351
11,Barry Church,674
12,Phillip Gaines,450
13,Kenny Vaccaro,724
14,Nat Berhe,164
15,Rontez Miles,394
16,Dominique Rodgers-Cromartie,733
17,David Bruton,235
18,Bashaud Breeland,764
19,Keanu Neal,920
20,Rafael Bush,501
21,Reshad Jones,431
22,Jude Adjei-Barimah,290
23,Logan Ryan,897
24,Jonathan Cyprien,1070
25,Briean Boddy-Calhoun,571
26,Sean Davis,740
27,Jahleel Addae,511
28,Michael Jordan,177
29,Morgan Burnett,948
30,Marcus Cooper,827
31,Antwon Blake,364
32,Darryl Morris,360
33,Darqueze Dennard,334
34,Troy Hill,335
35,Kurt Coleman,995
36,TJ Ward,988
37,Kam Chancellor,731
