Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
242,Adrian Hamilton,BAL,ILB,2,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Zack Nash,ARI,ILB,8,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Sammy Brown,LAR,OLB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Travis Goethel,OAK,ILB,8,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Patrick Trahan,CHI,OLB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Jesse Nading,HOU,LB,16,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Terrell Manning,GB,ILB,5,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Adrian Moten,CLE,ILB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Jerry Brown,IND,LB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Larry Dean,MIN,OLB,16,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Jonathan Massaquoi,ATL,OLB,8,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Audie Cole,MIN,OLB,5,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Doug Hogue,CAR,OLB,14,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Cameron Sheffield,KC,ILB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Roddrick Muckelroy,WAS,ILB,5,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Eric Bakhtiari,SF,LB,5,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Jordan Senn,CAR,OLB,16,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Allen Bradford,SEA,ILB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Bryan Kehl,WAS,ILB,8,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Greg Jones,JAX,LB,5,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Ramon Humber,NO,OLB,13,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Stevenson Sylvester,PIT,ILB,10,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Ricky Sapp,NYJ,OLB,4,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Jerry Franklin,CHI,ILB,3,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Najee Goode,TB,OLB,3,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Josh Kaddu,MIA,OLB,4,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Leon Williams,KC,LB,4,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Mike Mohamed,DEN,ILB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Ryan Davis,JAX,OLB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Jason Williams,CAR,OLB,7,0,0,0,0,0,0,0,0,0,0,0,0,0
