Year,Player,College,Position,Grade,Height,Arm Length,Weight,Hands,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,Three Cone Drill,20 Yard Shuttle,60 Yard Shuttle
2016,Paul Perkins,UCLA,RB,5.76,70,31.625,208,9,4.54,19,32,124,,,
2016,Alex Collins,Arkansas,RB,5.7,70,30.25,217,9.25,4.59,18,28.5,113,,,
2016,Kenneth Dixon,Louisiana Tech,RB,5.69,70,31.375,215,9.5,4.58,18,37.5,121,6.97,4.28,11.5
2016,Devontae Booker,Utah,RB,5.67,71,31.625,219,8.625,,22,,,,,
2016,Jonathan Williams,Arkansas,RB,5.57,71,31.625,220,10,,16,,,,,
2016,C.J. Prosise,Notre Dame,RB,5.55,72,32.125,220,8.5,4.48,,35.5,121,,,
2016,Kenyan Drake,Alabama,RB,5.41,73,31.75,210,9.75,4.45,10,34.5,123,7.04,4.21,
2016,Kelvin Taylor,Florida,RB,5.35,70,29.25,207,8.25,4.6,15,32,113,,,
2016,Josh Ferguson,Illinois,RB,5.34,69,30,198,9,4.48,21,34.5,120,,,
2016,Devon Johnson,Marshall,RB,5.31,72,31.25,238,9.25,,,,,,,
2016,Keith Marshall,Georgia,RB,5.27,71,31.625,219,9.375,4.31,25,30.5,,,,
2016,Marshaun Coprich,Illinois State,RB,5.25,68,29.625,207,9,4.47,17,34,112,7.26,4.58,12.09
2016,Tra Carson,Texas A&M,RB,5.23,71,31.5,227,9.25,,19,,,,,
2016,Peyton Barber,Auburn,RB,5.12,70,30.25,228,9.375,4.64,20,32.5,111,7,4.21,11.65
2016,Wendell Smallwood,West Virginia,RB,5.12,70,30.5,208,9.25,4.47,14,33.5,120,6.83,4.28,11.14
2016,Tyler Ervin,San Jose State,RB,5.11,70,29.75,192,9.125,4.41,17,39,130,,,
2016,Daniel Lasco,California,RB,5,72,32,209,9.125,4.46,23,41.5,135,7.22,4.26,11.31
2016,Tre Madden,USC,RB,5,72,29.75,223,9.375,,24,,,,,
2016,DeAndre Washington,Texas Tech,RB,4.95,68,30,204,9,4.49,24,34.5,118,7.03,4.2,11.63
2016,Brandon Wilds,South Carolina,RB,4.94,73,32,220,10.25,4.54,21,36.5,118,7.08,4.33,11.75
2016,Shad Thornton,North Carolina State,RB,4.6,72,30,217,9.75,4.75,12,31,116,6.85,4.21,11.53
2016,Andy Janovich,Nebraska,FB,5.16,73,31.625,238,9.75,4.81,30,34,119,7.28,4.32,11.95
2016,Quayvon Hicks,Georgia,FB,5.07,73,31.25,259,9.625,,,,,,,
2016,Glenn Gronkowski,Kansas State,FB,5,74,30.75,239,9.5,4.71,17,33,120,7.1,4.45,11.95
2016,Dan Vitale,Northwestern,FB,4.85,73,31.75,239,9.75,4.6,30,38.5,123,7.12,4.12,11.36
2016,Soma Vainuku,USC,FB,4.8,71,32.75,246,9.5,4.68,26,32,108,,,
2016,Laquon Treadwell,Ole Miss,WR,6.25,74,33.375,221,9.5,,12,33,117,,,
2016,Will Fuller,Notre Dame,WR,6.13,72,30.75,186,8.25,4.32,10,33.5,126,6.93,4.27,11.44
2016,Corey Coleman,Baylor,WR,6.1,71,30.25,194,9,,17,40.5,129,,,
2016,Tyler Boyd,Pittsburgh,WR,5.9,73,32,197,9.75,4.58,11,34,119,6.9,4.35,
2016,Charone Peake,Clemson,WR,5.88,74,34,209,9.25,4.45,12,35.5,122,6.96,4.46,11.69
2016,Michael Thomas,Ohio State,WR,5.87,75,32.125,212,10.5,4.57,18,35,126,6.8,4.13,11.7
