Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,TackleSnapPercentage,SackSnapPercentage,QuarterbackHitSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
194,Jamar Taylor,CLE,CB,16,967,60.4,90.2,6.3,0.1,0.1,73,7.5
194,Logan Ryan,TEN,CB,15,921,61.4,84.5,6.7,0,0,69,7.5
194,Kevin Johnson,HOU,CB,12,581,48.4,58.3,7.7,0,0,43.5,7.5
194,Jeremy Lane,SEA,CB,13,348,26.8,31.6,8.9,0,0,26,7.5
199,Marcus Maye,NYJ,FS,16,1066,66.6,95.3,7.4,0,0,79,7.4
199,Xavier Rhodes,MIN,CB,16,906,56.6,91.1,6.2,0,0,67,7.4
201,Briean Boddy-Calhoun,CLE,SS,13,535,41.2,49.9,6.9,0,0.2,39,7.3
201,Da'Norris Searcy,TEN,SS,16,363,22.7,33.3,7.2,0,0.3,26.5,7.3
203,Trevor Williams,LAC,CB,16,1006,62.9,96.2,5.4,0,0,71,7.1
203,Terence Newman,MIN,CB,16,560,35,56.3,6.2,0,0,40,7.1
203,Darius Butler,IND,FS,15,504,33.6,46.8,5.8,0,0,36,7.1
206,Ahkello Witherspoon,SF,CB,12,662,55.2,58.6,4.7,0,0,45.5,6.9
206,Sidney Jones,PHI,CB,1,29,29,3.8,6.9,0,0,2,6.9
208,Prince Amukamara,CHI,CB,14,848,60.6,80.3,5.8,0,0,57.5,6.8
208,Jabrill Peppers,CLE,FS,13,809,62.2,75.5,7,0,0,55,6.8
210,William Jackson III,CIN,CB,14,702,50.1,61.4,3.6,0.1,0.1,47,6.7
210,Orlando Scandrick,DAL,CB,11,614,55.8,63,6.2,0,0.2,41,6.7
210,Josh Shaw,CIN,CB,16,554,34.6,48.5,6.3,0,0,37,6.7
213,Darrelle Revis,KC,CB,5,192,38.4,47.1,5.7,0,0,12.5,6.5
213,Quintin Demps,CHI,SS,3,177,59,24.2,6.8,0,0,11.5,6.5
215,Sean Smith,OAK,CB,14,702,50.1,67.5,4.8,0,0.1,44.5,6.3
215,Eric Rowe,NE,CB,8,260,32.5,24.5,5.4,0,0,16.5,6.3
217,Vontae Davis,IND,CB,5,330,66,53.8,6.4,0,0,20.5,6.2
217,Nolan Carroll,DAL,CB,2,81,40.5,23.6,6.2,0,0,5,6.2
217,Antone Exum,SF,SS,2,40,20,7.7,7.5,0,0,2.5,6.2
220,Chris Harris,DEN,CB,16,872,54.5,88.5,4.6,0,0,53,6.1
220,Aqib Talib,DEN,CB,15,752,50.1,81.9,4.1,0,0,46,6.1
222,Clayton Geathers,IND,SS,5,112,22.4,10.4,7.1,0,0,6.5,5.8
223,Morris Claiborne,NYJ,CB,15,921,61.4,82.4,4.7,0,0,51,5.5
223,Duron Harmon,NE,SS,16,705,44.1,66.4,3.3,0,0,38.5,5.5
223,Cordrea Tankersley,MIA,CB,11,641,58.3,60.8,4.8,0,0,35.5,5.5
223,DJ White,IND,CB,2,55,27.5,5.4,5.5,0,0,3,5.5
227,Joe Haden,PIT,CB,11,614,55.8,62.5,3.3,0.2,0.2,33,5.4
228,Ricardo Allen,ATL,FS,15,957,63.8,91.1,5.6,0,0,51,5.3
229,Chris Prosinski,CHI,FS,3,128,42.7,66.7,6.2,0,0,6.5,5.1
230,Nate Allen,MIA,FS,7,362,51.7,51.1,5.5,0,0,18,5
231,Cameron Sutton,PIT,CB,5,113,22.6,11.5,4.4,0,0,5.5,4.9
232,Patrick Peterson,ARI,CB,16,1015,63.4,95.6,3.3,0,0,46,4.5
233,Brice McCain,TEN,CB,16,414,25.9,38,2.7,0,0,13,3.1
234,Jason Verrett,LAC,CB,1,63,63,8.4,1.6,0,0,1,1.6
235,Quinton Dunbar,WAS,CB,15,373,24.9,33.9,9.1,0,0,0,0
