Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
21,Glover Quin,HOU,FS,16,64,20,6,1,8,1,14,2,2,0,0,6.9,109.8
22,Jairus Byrd,BUF,FS,16,53,23,5,0,0,1,6,5,4,2,0,6.8,109.5
23,Josh Wilson,WAS,CB,16,54,20,0,1,12,2,13,2,3,2,1,6.8,109.2
24,Bernard Pollard,BAL,SS,13,71,27,6,2,14,3,6,1,0,0,0,8.3,107.9
25,William Moore,ATL,SS,12,59,16,5,1,13,2,8,4,2,1,0,8.9,106.3
26,Mike Adams,DEN,FS,16,60,20,1,1,2,8,11,0,2,2,0,6.6,106.2
26,Thomas Decoud,ATL,FS,16,62,14,4,1,2,1,9,6,0,1,0,6.6,106.2
28,Antoine Bethea,IND,FS,16,75,25,3,2,8,3,7,0,0,0,0,6.6,105.3
29,Danieal Manning,HOU,SS,16,59,18,2,1,0,1,8,2,3,1,1,6.6,105
30,Quentin Jammer,LAC,CB,16,55,9,3,0,0,0,9,3,1,3,2,6.5,104.5
31,Reggie Nelson,CIN,FS,14,54,29,6,1,8,3,9,3,2,0,0,7.4,104.3
32,Madieu Williams,WAS,FS,16,65,33,3,1,7,2,6,1,0,0,1,6.5,104.2
33,Chris Harris,DEN,CB,15,51,10,4,2.5,18,4,12,3,0,0,2,6.9,103.8
34,Antrel Rolle,NYG,SS,16,71,21,4,0,0,0,5,2,1,1,0,6.4,102.5
34,Alterraun Verner,TEN,CB,16,59,17,8,0,0,0,9,2,1,1,1,6.4,102.5
34,Eric Berry,KC,FS,16,73,13,10,0,0,0,10,1,0,0,0,6.4,102.5
37,Major Wright,CHI,SS,16,52,19,5,0,0,0,8,4,1,2,1,6.3,101.5
38,Dunta Robinson,ATL,CB,16,67,13,7,1.5,11,2,8,1,1,0,0,6.3,100.6
39,Michael Griffin,TEN,SS,16,60,19,3,1,8,3,4,4,2,0,0,6.3,100.3
40,Patrick Robinson,NO,CB,16,53,11,1,1,9,1,18,3,1,0,1,6.2,99.4
41,Kam Chancellor,SEA,SS,16,71,24,3,0,0,0,4,0,1,2,0,6.2,99
42,Malcolm Jenkins,NO,SS,13,65,29,2,0,0,1,7,1,0,0,1,7.6,98.5
43,Sheldon Brown,CLE,CB,15,53,7,3,1,6,0,12,3,1,2,1,6.5,98.1
44,Yeremiah Bell,NYJ,FS,16,71,16,3,1,8,1,2,0,0,3,0,6,96.8
45,Ed Reed,BAL,FS,16,49,9,1,0,0,0,15,4,0,3,1,6,96.5
46,Dawan Landry,JAX,SS,16,81,19,0,0,0,0,2,1,0,0,0,6,95.5
47,Kerry Rhodes,ARI,FS,15,58,9,0,1,6,1,11,4,2,0,0,6.3,95.1
48,Donte Whitner,SF,SS,16,61,21,1,0,0,0,4,1,2,1,1,5.9,94.5
49,Kurt Coleman,PHI,SS,14,67,22,3,0,0,0,4,2,1,0,0,6.7,94
49,Tyvon Branch,OAK,SS,14,74,20,3,0,0,1,3,1,0,0,0,6.7,94
51,Dashon Goldson,SF,FS,16,52,14,1,0,0,0,11,3,1,2,0,5.8,92.1
